country_name,GWn,GWc,regex,region,continent,GW_startdate,GW_enddate,microstate,GW_membership,cown,cowc,polity_ccode,polity_country,polity_startdate,polity_enddate,num_periods,problem_history,lon,lat,cow_startdate,cow_enddate
Greece,350,GRC,greece|hellenic|hellas,Southern Europe,Europe,1828-04-25,NA,FALSE,TRUE,350,GRC,350,Greece,1827-05-17,NA,1,FALSE,21.824312,39.074208,1828-04-25,NA
Cyprus,352,CYP,^(?!.*\bn).*cyprus,Western Asia,Asia,1960-08-16,NA,FALSE,TRUE,352,CYP,352,Cyprus,1960-08-16,NA,1,FALSE,33.429859,35.126413,1960-08-16,NA
Bulgaria,355,BUL,bulgaria,Eastern Europe,Europe,1878-03-03,NA,FALSE,TRUE,355,BUL,355,Bulgaria,1879-04-29,NA,1,FALSE,25.48583,42.733883,1878-03-03,NA
Moldova,359,MLD,moldov|b(a|e)ssarabia,Eastern Europe,Europe,1991-08-27,NA,FALSE,TRUE,359,MLD,359,Moldova,1991-08-27,NA,1,FALSE,28.369885,47.411631,1991-08-27,NA
Romania,360,RUM,r(o|u|ou)mania,Eastern Europe,Europe,1878-07-13,NA,FALSE,TRUE,360,RUM,360,Romania,1859-01-24,NA,1,FALSE,24.96676,45.943161,1878-07-13,NA
Russia (Soviet Union),365,RUS,\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics,Eastern Europe,Europe,1816-01-01,NA,FALSE,TRUE,365,USR,364,USSR,1922-12-30,1991-12-31,3,TRUE,105.318756,61.52401,1800-01-01,NA
Russia (Soviet Union),365,RUS,\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics,Eastern Europe,Europe,1816-01-01,NA,FALSE,TRUE,365,RUS,365,Russia,1800-01-01,1922-12-29,3,FALSE,105.318756,61.52401,1800-01-01,NA
Russia (Soviet Union),365,RUS,\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics,Eastern Europe,Europe,1816-01-01,NA,FALSE,TRUE,365,RUS,365,Russia,1992-01-01,NA,3,FALSE,105.318756,61.52401,1800-01-01,NA
Estonia,366,EST,estonia,Northern Europe,Europe,1918-11-11,1940-06-01,FALSE,TRUE,366,EST,366,Estonia,1917-04-12,1940-06-16,4,FALSE,25.013607,58.595272,1918-11-11,1940-06-01
Estonia,366,EST,estonia,Northern Europe,Europe,1918-11-11,1940-06-01,FALSE,TRUE,366,EST,366,Estonia,1991-09-06,NA,4,FALSE,25.013607,58.595272,1918-11-11,1940-06-01
Estonia,366,EST,estonia,Northern Europe,Europe,1991-09-06,NA,FALSE,TRUE,366,EST,366,Estonia,1917-04-12,1940-06-16,4,FALSE,25.013607,58.595272,1991-09-06,NA
Estonia,366,EST,estonia,Northern Europe,Europe,1991-09-06,NA,FALSE,TRUE,366,EST,366,Estonia,1991-09-06,NA,4,FALSE,25.013607,58.595272,1991-09-06,NA
Latvia,367,LAT,latvia,Northern Europe,Europe,1918-11-11,1940-06-01,FALSE,TRUE,367,LAT,367,Latvia,1920-02-01,1940-06-17,4,FALSE,24.603189,56.879635,1918-11-11,1940-06-01
Latvia,367,LAT,latvia,Northern Europe,Europe,1918-11-11,1940-06-01,FALSE,TRUE,367,LAT,367,Latvia,1991-09-06,NA,4,FALSE,24.603189,56.879635,1918-11-11,1940-06-01
Latvia,367,LAT,latvia,Northern Europe,Europe,1991-09-06,NA,FALSE,TRUE,367,LAT,367,Latvia,1920-02-01,1940-06-17,4,FALSE,24.603189,56.879635,1991-09-06,NA
Latvia,367,LAT,latvia,Northern Europe,Europe,1991-09-06,NA,FALSE,TRUE,367,LAT,367,Latvia,1991-09-06,NA,4,FALSE,24.603189,56.879635,1991-09-06,NA
Lithuania,368,LIT,lithuania,Northern Europe,Europe,1918-02-16,1940-06-01,FALSE,TRUE,368,LIT,368,Lithuania,1918-11-11,1940-08-03,4,FALSE,23.881275,55.169438,1918-02-16,1940-06-01
Lithuania,368,LIT,lithuania,Northern Europe,Europe,1918-02-16,1940-06-01,FALSE,TRUE,368,LIT,368,Lithuania,1991-09-06,NA,4,FALSE,23.881275,55.169438,1918-02-16,1940-06-01
Lithuania,368,LIT,lithuania,Northern Europe,Europe,1991-09-06,NA,FALSE,TRUE,368,LIT,368,Lithuania,1918-11-11,1940-08-03,4,FALSE,23.881275,55.169438,1991-09-06,NA
Lithuania,368,LIT,lithuania,Northern Europe,Europe,1991-09-06,NA,FALSE,TRUE,368,LIT,368,Lithuania,1991-09-06,NA,4,FALSE,23.881275,55.169438,1991-09-06,NA
Ukraine,369,UKR,ukrain,Eastern Europe,Europe,1991-12-01,NA,FALSE,TRUE,369,UKR,369,Ukraine,1991-12-01,NA,1,FALSE,31.16558,48.379433,1991-12-01,NA
Belarus (Byelorussia),370,BLR,belarus|byelo,Eastern Europe,Europe,1991-08-25,NA,FALSE,TRUE,370,BLR,370,Belarus,1991-08-25,NA,1,FALSE,27.953389,53.709807,1991-08-25,NA
Armenia,371,ARM,armenia,Western Asia,Asia,1991-12-21,NA,FALSE,TRUE,371,ARM,371,Armenia,1991-09-23,NA,1,FALSE,45.038189,40.069099,1991-12-21,NA
Georgia,372,GRG,^(?!.*south).*georgia,Western Asia,Asia,1991-09-06,NA,FALSE,TRUE,372,GRG,372,Georgia,1991-04-09,NA,1,FALSE,43.356892,42.315407,1991-09-06,NA
Azerbaijan,373,AZE,azerbaijan,Western Asia,Asia,1991-12-21,NA,FALSE,TRUE,373,AZE,373,Azerbaijan,1991-08-30,NA,1,FALSE,47.576927,40.143105,1991-12-21,NA
